objid,fileid,ra,dec,u,g,r,i,z,field
1237648722826428568,587727942421577839,145.95056561,1.06511451,19.502815,17.686316,16.518147,16.002659,15.570091,201
1237648722289623245,588848900971561173,146.0151562,0.82350304,19.833771,18.102392,17.136372,16.658947,16.30822,202
1237648722289557692,588848900971495625,145.96964777,0.83092516,19.37793,17.434351,16.491638,16.029718,15.654962,201
1237648722289623239,588848900971561170,146.01227239,0.76561951,18.797291,17.729958,17.192705,16.862226,16.631477,202
1237648722289623338,588848900971561252,146.1473574,0.81736903,19.884569,17.606525,16.446224,15.950733,15.536657,202
1237648722289623054,588848900971560978,146.02092935,0.73353823,17.420383,15.346731,14.355689,13.867349,13.51059,202
1237648721752686780,588848900434624719,145.99915791,0.35244271,20.45821,18.643427,17.561846,17.025822,16.636814,201
1237648722289623248,588848900971561175,146.01689166,0.71678154,19.267588,17.304977,16.344681,15.888715,15.519447,202
1237650796756795418,587725075531890867,145.94780691,0.46530267,17.633408,15.934479,15.110385,14.692307,14.362175,171
1237650796756795423,587725075531890723,145.93671919,0.49890374,21.555227,19.413084,18.348009,17.574688,22.826929,171
1237648722289557665,588848900971495601,145.93772575,0.67206328,20.860064,18.936607,17.70038,17.210989,16.767519,201
1237650796219924667,587725074995019970,146.00603382,0.1454642,20.453434,18.187801,16.91408,16.375122,15.926804,171
1237650796219924616,587725074995019918,145.93970103,0.11691318,19.492281,18.206141,17.442509,17.012859,16.769314,171
1237650796219924757,587725074995019965,146.00406866,0.20364846,21.676956,19.370218,17.816296,17.246258,16.796688,171
1237650796219924631,587725074995019928,145.95625107,0.1994022,19.640718,17.923647,16.814684,16.321787,15.919371,171
1237650796219924614,587725074995019917,145.93857947,0.15103861,19.921791,18.639946,18.125639,17.795998,17.563011,171
1237648721752686769,588848900434624710,145.97844922,0.29496576,19.858452,17.964443,16.907314,16.375694,15.944297,201
1237648722289688840,588848900971626754,146.21636607,0.65943913,19.836483,18.418047,17.280815,16.795828,16.457954,203
1237650796756861130,587725075531956402,146.15185639,0.61346765,20.962738,18.465816,17.204857,16.634977,16.199133,172
1237648721752752343,588848900434690219,146.14431665,0.24314642,21.704241,19.322847,17.756374,17.126936,16.685751,202
1237650796219990080,587725074995085384,146.18531164,0.11930636,22.103374,19.66703,18.432823,17.886177,17.559982,172
1237650795146445031,587725073921540326,146.62857334,-0.7651468,19.50913,17.592752,16.673574,16.205244,15.83744,175
1237648720679272634,588848899361210501,146.62964933,-0.46566194,19.392225,17.629646,16.709414,16.236408,15.876593,206
1237650795683381380,587725074458411182,146.64358735,-0.33135899,19.932804,17.886101,16.614162,16.065832,15.611489,176
1237650796220186869,587725074995282167,146.63069374,0.0709716,20.991879,18.93545,17.642185,17.065708,16.603184,175
1237648721216143450,588848899898081376,146.63488326,-0.19226476,20.276815,18.111059,16.886358,16.3647,15.909083,206
1237648721216143524,588848899898081387,146.66135134,-0.10334915,20.668852,18.933395,17.858961,17.310911,16.885729,206
1237648720678944894,588848899360882818,145.87441479,-0.60874649,18.195156,16.69828,16.014725,15.638324,15.378967,201
1237650795683053709,587725074458148983,145.90592682,-0.36834253,19.857029,17.876068,16.828491,16.341709,15.955827,171
1237648721215815722,588848899897753641,145.8764854,-0.01100037,19.879974,17.772041,16.560862,16.073137,15.654673,201
1237648720678944999,588848899360882905,145.89107937,-0.46704764,19.664244,18.44821,17.592123,17.189312,16.92415,201
1237650795682988326,587725074458083630,145.89246128,-0.33627971,20.507162,18.586826,17.636301,17.191427,16.901072,170
1237648721215815838,588848899897753772,145.87737732,-0.05018324,19.883059,18.292501,17.387947,16.857157,16.487249,201
1237650796219859194,587725074994954439,145.86531646,0.08964107,20.576967,18.558079,17.408068,16.905306,16.493523,170
1237650796219859159,587725074994954414,145.83688404,0.00291043365,20.090754,18.317734,17.240108,16.761385,16.352085,170
1237650796219859165,587725074994954422,145.8442345,0.03072809,19.687967,18.317623,17.526791,17.073481,16.798954,170
1237650796219859039,587725074994954443,145.86563455,0.056211,21.068949,18.738667,17.523735,17.017771,16.605579,170
1237650796219859174,587725074994954429,145.84848265,0.05130792,21.66675,18.975805,17.773462,17.26647,16.807943,170
1237650795146051757,587725073921147041,145.6784761,-0.7913742,21.12718,18.914906,17.757584,17.275055,16.864529,169
1237648720141943100,588848898823880963,145.68113469,-0.86722933,18.713293,16.724447,15.786946,15.369241,15.024668,199
1237650795146051731,587725073921147020,145.64525626,-0.81549113,20.589529,18.611073,17.498083,17.016075,16.650631,169
1237650795146051733,587725073921147022,145.64788255,-0.77172636,17.831102,16.614708,16.126078,15.897859,15.762537,169
1237650795146051795,587725073921147067,145.70891997,-0.74767374,19.820887,17.912872,17.035118,16.652979,16.324087,169
1237650796219793563,587725074994888862,145.66946636,0.11169939,20.402056,18.621031,17.546171,17.073301,16.671282,169
1237648721215684828,588848899897622763,145.68941225,-0.01134001,19.937721,18.555962,17.8489,17.393507,17.130714,199
1237648721215750275,588848899897622772,145.70275104,-0.04856024,18.581642,17.373991,16.839285,16.466379,16.327789,200
1237648720678879348,588848899360817268,145.72208932,-0.52715027,20.911421,18.875246,17.682808,17.182993,16.827471,200
1237650795682922788,588848899360751828,145.66913683,-0.42101303,18.951429,17.819115,17.438787,17.224373,17.120003,169
1237650795145986089,587725073921081390,145.48726525,-0.80690239,19.042253,17.205805,16.230005,15.787056,15.447197,168
1237648720141877432,588848898823815351,145.46320765,-0.8442238,20.675581,18.788044,17.75482,17.303011,16.940876,198
1237650795145986270,587725073921081589,145.49630748,-0.73675006,20.684269,18.632364,17.450575,16.922733,16.517025,168
1237648720678748320,588848899360686252,145.47815603,-0.59978813,20.652948,18.568512,17.512444,17.03401,16.63586,198
1237650796219728015,587725074994757893,145.4466904,0.07739941,19.638857,18.215685,17.493879,17.063145,16.819332,168
1237650796219662565,587725074994757871,145.42697334,0.04958231,20.00503,18.152153,17.15633,16.695116,16.337891,167
1237648721215619221,588848899897557149,145.44550893,-0.12266671,20.302872,18.207134,17.172642,16.707439,16.318052,198
1237648720678748371,588848899360686291,145.51619014,-0.5191612,20.232162,18.312654,17.218044,16.755239,16.348665,198
1237650796219728040,587725074994823337,145.46452778,0.10705015,20.311943,18.36447,17.324934,16.882463,16.500414,168
1237650796219728147,587725074994823431,145.4541409,0.03913632,19.958401,18.578117,17.802391,17.404591,17.098227,168
1237648720141746455,588848898823684297,145.2073344,-0.86307654,20.129208,17.940994,16.789112,16.306906,15.942273,196
1237650795145855243,587725073920950543,145.2779287,-0.73312441,20.233465,18.219515,17.134686,16.696173,16.377413,166
1237648720678617276,588848899360555218,145.22476348,-0.54802313,20.513102,18.658981,17.66608,17.203295,16.814779,196
1237648721215553691,588848899897491610,145.28964477,-0.14731736,20.908615,18.903185,17.86001,17.387651,17.014122,197
