objid,redshift,plate,mjd,fiberid,class
1237648720695787695,0.079721,287,52023,21,GALAXY
1237648720695787670,0.088056,287,52023,30,GALAXY
1237648704040665238,0.040323,287,52023,32,GALAXY
1237648704040665226,0.198338,287,52023,34,GALAXY
1237648704040665256,0.071444,287,52023,38,GALAXY
1237648721232724026,0.080864,287,52023,40,GALAXY
1237648702966661296,0.07562,287,52023,41,GALAXY
1237648720158785724,0.181078,287,52023,47,GALAXY
1237648702966792419,0.03147,287,52023,50,GALAXY
1237648703503597712,0.083788,287,52023,52,GALAXY
1237648720158720150,0.157416,287,52023,60,GALAXY
1237648704040599736,0.186846,287,52023,65,GALAXY
1237648704040534125,0.124927,287,52023,66,GALAXY
1237648720695656538,0.095147,287,52023,69,GALAXY
1237648720695722189,0.088342,287,52023,72,GALAXY
1237648720695722188,0.070367,287,52023,74,GALAXY
1237648721232527502,0.123922,287,52023,77,GALAXY
1237648704040599667,0.186282,287,52023,78,GALAXY
1237648704040599577,0.18491,287,52023,80,GALAXY
1237648702966530336,0.178088,287,52023,83,GALAXY
1237648720158654785,0.083205,287,52023,86,GALAXY
1237648720158654584,0.104442,287,52023,91,GALAXY
1237648720158589123,0.099568,287,52023,94,GALAXY
1237648722834161856,0.154857,276,51909,537,GALAXY
1237648722834096285,0.104038,276,51909,534,GALAXY
1237648722834161838,0.068114,276,51909,530,GALAXY
1237648722297290822,0.037434,276,51909,508,GALAXY
1237648722297290930,0.065706,276,51909,502,GALAXY
1237648721760420032,0.03867,276,51909,501,GALAXY
1237648721760288929,0.126029,276,51909,499,GALAXY
1237648721760354472,0.09426,276,51909,497,GALAXY
1237648721760288975,0.127179,276,51909,496,GALAXY
1237648722297159820,0.037534,276,51909,488,GALAXY
1237648721760288813,0.125192,276,51909,484,GALAXY
1237648720686416058,0.072657,276,51909,225,GALAXY
1237648720686416063,0.075814,276,51909,224,GALAXY
1237648720686416042,0.07495,276,51909,223,GALAXY
1237648720686350608,0.074797,276,51909,222,GALAXY
1237648720686416061,0.129522,276,51909,221,GALAXY
1237648720149610751,0.083866,276,51909,219,GALAXY
1237648720149545106,0.04899,276,51909,211,GALAXY
1237648721223352425,0.050228,276,51909,200,GALAXY
1237648721223352447,0.149905,276,51909,195,GALAXY
1237648720686481504,0.072512,276,51909,187,GALAXY
1237648720686481517,0.021498,276,51909,185,GALAXY
1237648720686416123,0.12931,276,51909,181,GALAXY
1237648721223417976,0.150793,276,51909,178,GALAXY
1237648720686547089,0.072271,276,51909,170,GALAXY
1237648720165339250,0.111441,295,51985,3,GALAXY
1237648720165404835,0.047839,295,51985,4,GALAXY
1237648720165404869,0.083774,295,51985,12,GALAXY
1237648720165339146,0.157815,295,51985,16,GALAXY
1237648720165339292,0.087913,295,51985,17,GALAXY
1237648704047218858,0.16121,295,51985,21,GALAXY
1237651203158048952,0.150727,295,51985,24,GALAXY
1237648704047218842,0.201872,295,51985,25,GALAXY
1237648704047284238,0.032348,295,51985,26,GALAXY
1237651203158114479,0.111473,295,51985,30,GALAXY
1237651203158114492,0.114674,295,51985,35,GALAXY
1237648702973214878,0.112151,295,51985,51,GALAXY
1237648720165208147,0.112905,295,51985,53,GALAXY
1237648703510216943,0.085636,295,51985,62,GALAXY
1237648703510282483,0.144422,295,51985,63,GALAXY
1237651203157917882,0.083678,295,51985,71,GALAXY
1237648703510282486,0.081907,295,51985,72,GALAXY
1237651203157917862,0.116187,295,51985,73,GALAXY
1237648703510282382,0.083345,295,51985,74,GALAXY
1237648704047087753,0.082606,295,51985,75,GALAXY
1237648720165339233,0.11143,295,51985,101,GALAXY
1237651203157917856,0.094758,295,51985,102,GALAXY
1237648720165339237,0.11283,295,51985,104,GALAXY
1237648720165339263,0.111019,295,51985,105,GALAXY
1237648703510216734,0.073141,295,51985,111,GALAXY
1237648703510151276,0.083683,295,51985,115,GALAXY
1237648703510216838,0.08567,295,51985,116,GALAXY
1237651203157852341,0.036272,295,51985,120,GALAXY
1237648720165273704,0.160812,295,51985,143,GALAXY
1237648720165273735,0.110878,295,51985,144,GALAXY
1237648720165273713,0.107733,295,51985,148,GALAXY
1237651203157852284,0.127841,295,51985,152,GALAXY
1237648721218371802,0.046519,269,51910,79,GALAXY
1237648721218371809,0.190871,269,51910,75,GALAXY
1237648720681500944,0.093622,269,51910,74,GALAXY
1237648720681566422,0.096239,269,51910,72,GALAXY
1237648720144564384,0.043411,269,51910,15,GALAXY
1237648720144564402,0.095537,269,51910,12,GALAXY
1237648721228136659,0.259825,282,51658,520,GALAXY
1237648721228071082,0.191077,282,51658,513,GALAXY
1237648721228136559,0.260394,282,51658,512,GALAXY
1237648721765007623,0.176164,282,51658,507,GALAXY
1237648720154263604,0.134162,282,51658,137,GALAXY
1237648721218634007,0.09537,270,51909,480,GALAXY
1237648721755570497,0.092418,270,51909,477,GALAXY
1237648721755504889,0.096161,270,51909,476,GALAXY
1237648721218764906,0.097198,270,51909,475,GALAXY
1237648721755570371,0.09747,270,51909,474,GALAXY
1237648721218699361,0.096421,270,51909,473,GALAXY
1237648721755635833,0.118117,270,51909,471,GALAXY
1237648721218764929,0.112247,270,51909,467,GALAXY
1237648722292441376,0.124616,270,51909,453,GALAXY
1237648721218633973,0.095887,270,51909,440,GALAXY
1237648721755504836,0.124876,270,51909,439,GALAXY
1237648721218568276,0.095712,270,51909,438,GALAXY
1237648721755439201,0.184235,270,51909,432,GALAXY
1237648721218633979,0.096564,270,51909,422,GALAXY
1237648720158065069,0.101145,287,52023,286,GALAXY
1237648720158064905,0.059611,287,52023,288,GALAXY
1237648720157933664,0.179169,287,52023,294,GALAXY
1237648720157999292,0.110785,287,52023,300,GALAXY
1237648720158064898,0.079152,287,52023,304,GALAXY
1237648720694804713,0.07848,287,52023,306,GALAXY
1237648720694739298,0.161559,287,52023,308,GALAXY
1237648722842353777,0.123546,287,52023,328,GALAXY
1237648722305417326,0.078466,287,52023,331,GALAXY
1237648722305417334,0.185566,287,52023,333,GALAXY
1237648722842353743,0.162295,287,52023,334,GALAXY
1237648722305548491,0.169872,287,52023,336,GALAXY
1237648721231675475,0.115663,287,52023,352,GALAXY
1237648722842419355,0.158192,287,52023,364,GALAXY
1237648722842419363,0.077745,287,52023,375,GALAXY
